,68.0,68.5,69.0,69.5,70.0   70.5,70.5,71.0,71.5,72.0,72.5
circum,,,,,,,,,,
76,51,50,50,50,49,49,49,48,48,47
75.5,50,50,49,49,49,49,48,47,47,46
75,50,49,49,49,48,48,47,46,46,46
74.5,49,49,49,48,47,47,46,46,46,45
74,49,48,48,47,46,46,46,46,45,45
73.5,48,47,47,46,46,46,45,45,45,44
73,47,46,46,46,45,45,45,45,44,44
72.5,46,46,46,45,45,45,44,44,44,44
72,46,45,45,45,45,44,44,44,43,43
71.5,45,45,45,44,44,44,43,43,43,43
71,45,44,44,44,44,43,43,43,42,42
70.5,44,44,44,43,43,43,42,42,42,42
70,44,43,43,43,43,42,42,42,41,41
69.5,43,43,43,42,42,42,41,41,41,41
69,43,42,42,42,41,41,41,41,40,40
68.5,42,42,42,41,41,41,40,40,40,39
68,42,41,41,41,40,40,40,40,39,39
67.5,41,41,41,40,40,40,39,39,39,38
67,41,40,40,40,39,39,39,39,38,38
66.5,40,40,39,39,39,39,38,38,38,37
66,40,39,39,39,38,38,38,37,37,37
65.5,39,39,38,38,38,37,37,37,37,36
65.0,38,38,38,38,37,37,37,36,36,36
64.5,38,38,37,37,37,36,36,36,36,35
64.0,37,37,37,36,36,36,36,35,35,35
63.5,37,37,36,36,36,35,35,35,34,34
63.0,36,36,36,35,35,35,34,34,34,34
62.5,36,35,35,35,34,34,34,34,33,33
62.0,35,35,35,34,34,34,33,33,33,32
61.5,35,34,34,34,33,33,33,32,32,32
61.0,34,34,33,33,33,32,32,32,32,31
60.5,33,33,33,32,32,32,32,31,31,31
60.0,33,32,32,32,32,31,31,31,30,30
59.5,32,32,32,31,31,31,30,30,30,29
59.0,32,31,31,31,30,30,30,29,29,29
58.5,31,31,30,30,30,29,29,29,29,28
58.0,30,30,30,29,29,29,29,28,28,28
57.5,30,29,29,29,29,28,28,28,27,27
57.0,29,29,29,28,28,28,27,27,27,26
56.5,29,28,28,28,27,27,27,26,26,26
56.0,28,28,27,27,27,26,26,26,25,25
55.5,27,27,27,26,26,26,25,25,25,25
55.0,27,26,26,26,25,25,25,25,24,24
54.5,26,26,25,25,25,24,24,24,24,23
54.0,25,25,25,24,24,24,24,23,23,23
53.5,25,24,24,24,23,23,23,23,22,22
53.0,24,24,23,23,23,22,22,22,22,21
52.5,23,23,23,22,22,22,22,21,21,21
52.0,23,22,22,22,21,21,21,21,20,20
51.5,22,22,21,21,21,20,20,20,20,19
51.0,21,21,21,20,20,20,19,19,20,20
50.5,21,20,20,20,19,19,20,19,19,19
50,20,20,19,20,20,19,19,19,18,18
49.5,19,20,20,19,19,19,18,18,18,17
49.0,19,19,19,19,18,18,18,17,17,17
48.5,19,18,18,18,17,17,17,17,16,16
48.0,18,18,17,17,17,16,16,16,16,15
47.5,17,17,17,16,16,16,15,15,15,15
47.0,17,16,16,16,15,15,15,14,14,14
46.5,16,15,15,15,15,14,14,14,13,13
46.0,15,15,14,14,14,13,13,13,13,12
