,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
pullup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,100,100,100,100,100,100,100,100,100,95,95,95,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,100,100,100,100,95,95,95,95,95,90,90,90,90,90,95,95,95,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,100,100,100,100,90,90,90,90,90,85,85,85,85,85,90,90,90,90,90,94,94,94,94,94,100,100,100,100,100,100,100,100,100,100,100
8,100,100,100,100,85,85,85,85,85,80,80,80,80,80,85,85,85,85,85,89,89,89,89,89,100,100,100,100,100,100,100,100,100,100,100
7,100,100,100,100,80,80,80,80,80,75,75,75,75,75,80,80,80,80,80,83,83,83,83,83,93,93,93,93,93,100,100,100,100,100,100
6,93,93,93,93,75,75,75,75,75,70,70,70,70,70,75,75,75,75,75,77,77,77,77,77,87,87,87,87,87,100,100,100,100,100,100
5,87,87,87,87,70,70,70,70,70,65,65,65,65,65,70,70,70,70,70,71,71,71,71,71,80,80,80,80,80,90,90,90,90,90,100
4,80,80,80,80,65,65,65,65,65,60,60,60,60,60,65,65,65,65,65,66,66,66,66,66,73,73,73,73,73,80,80,80,80,80,100
3,73,73,73,73,60,60,60,60,60,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,67,67,67,67,67,70,70,70,70,70,80
2,67,67,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60
1,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
